
Month,Year,SA_1st,SA_2nd,SA_3rd,SA_Rev_2nd_1st,SA_Rev_3rd_2nd,SA_Rev_3rd_1st,NSA_1st,NSA_2nd,NSA_3rd,NSA_Rev_2nd_1st,NSA_Rev_3rd_2nd,NSA_Rev_3rd_1st
Jan.,1997,271.0,247.0,259.0,-24.0,12.0,-12.0,-2570.0,-2584.0,-2567.0,-14.0,17.0,3.0
Feb.,1997,339.0,293.0,314.0,-46.0,21.0,-25.0,800.0,750.0,767.0,-50.0,17.0,-33.0
Mar.,1997,175.0,139.0,182.0,-36.0,43.0,7.0,847.0,817.0,755.0,-30.0,-62.0,-92.0
Apr.,1997,142.0,323.0,327.0,181.0,4.0,185.0,835.0,967.0,964.0,132.0,-3.0,129.0
May,1997,138.0,166.0,163.0,28.0,-3.0,25.0,1014.0,1046.0,1041.0,32.0,-5.0,27.0
Jun.,1997,217.0,228.0,222.0,11.0,-6.0,5.0,627.0,638.0,634.0,11.0,-4.0,7.0
Jul.,1997,316.0,365.0,384.0,49.0,19.0,68.0,-938.0,-898.0,-879.0,40.0,19.0,59.0
Aug.,1997,49.0,40.0,52.0,-9.0,12.0,3.0,18.0,4.0,16.0,-14.0,12.0,-2.0
Sep.,1997,215.0,269.0,300.0,54.0,31.0,85.0,903.0,956.0,981.0,53.0,25.0,78.0
Oct.,1997,284.0,287.0,291.0,3.0,4.0,7.0,870.0,876.0,882.0,6.0,6.0,12.0
Nov.,1997,404.0,412.0,429.0,8.0,17.0,25.0,389.0,397.0,420.0,8.0,23.0,31.0
Dec.,1997,370.0,355.0,354.0,-15.0,-1.0,-16.0,187.0,168.0,167.0,-19.0,-1.0,-20.0
Jan.,1998,358.0,375.0,399.0,17.0,24.0,41.0,-2574.0,-2559.0,-2538.0,15.0,21.0,36.0
Feb.,1998,310.0,252.0,259.0,-58.0,7.0,-51.0,834.0,780.0,780.0,-54.0,0.0,-54.0
Mar.,1998,-36.0,-24.0,82.0,12.0,106.0,118.0,636.0,656.0,1066.0,20.0,410.0,430.0
Apr.,1998,262.0,302.0,320.0,40.0,18.0,58.0,1027.0,1062.0,1082.0,35.0,20.0,55.0
May,1998,296.0,309.0,328.0,13.0,19.0,32.0,1046.0,1065.0,1078.0,19.0,13.0,32.0
Jun.,1998,205.0,196.0,189.0,-9.0,-7.0,-16.0,718.0,716.0,707.0,-2.0,-9.0,-11.0
Jul.,1998,66.0,68.0,118.0,2.0,50.0,52.0,-1085.0,-1078.0,-1032.0,7.0,46.0,53.0
Aug.,1998,365.0,309.0,322.0,-56.0,13.0,-43.0,203.0,150.0,165.0,-53.0,15.0,-38.0
Sep.,1998,69.0,157.0,172.0,88.0,15.0,103.0,685.0,768.0,792.0,83.0,24.0,107.0
Oct.,1998,116.0,145.0,164.0,29.0,19.0,48.0,713.0,687.0,706.0,-26.0,19.0,-7.0
Nov.,1998,267.0,251.0,277.0,-16.0,26.0,10.0,333.0,316.0,336.0,-17.0,20.0,3.0
Dec.,1998,378.0,298.0,314.0,-80.0,16.0,-64.0,156.0,76.0,96.0,-80.0,20.0,-60.0
Jan.,1999,245.0,217.0,217.0,-28.0,0.0,-28.0,-2729.0,-2760.0,-2760.0,-31.0,0.0,-31.0
Feb.,1999,275.0,297.0,335.0,22.0,38.0,60.0,852.0,871.0,916.0,19.0,45.0,64.0
Mar.,1999,46.0,7.0,83.0,-39.0,76.0,37.0,650.0,598.0,775.0,-52.0,177.0,125.0
Apr.,1999,234.0,343.0,321.0,109.0,-22.0,87.0,1085.0,1144.0,1123.0,59.0,-21.0,38.0
May,1999,11.0,-5.0,28.0,-16.0,33.0,17.0,841.0,832.0,860.0,-9.0,28.0,19.0
Jun.,1999,268.0,273.0,281.0,5.0,8.0,13.0,720.0,735.0,743.0,15.0,8.0,23.0
Jul.,1999,310.0,338.0,373.0,28.0,35.0,63.0,-845.0,-825.0,-791.0,20.0,34.0,54.0
Aug.,1999,124.0,103.0,129.0,-21.0,26.0,5.0,-47.0,-70.0,-49.0,-23.0,21.0,-2.0
Sep.,1999,-8.0,41.0,103.0,49.0,62.0,111.0,630.0,689.0,698.0,59.0,9.0,68.0
Oct.,1999,310.0,263.0,284.0,-47.0,21.0,-26.0,754.0,739.0,758.0,-15.0,19.0,4.0
Nov.,1999,234.0,222.0,257.0,-12.0,35.0,23.0,393.0,380.0,418.0,-13.0,38.0,25.0
Dec.,1999,315.0,316.0,309.0,1.0,-7.0,-6.0,105.0,102.0,91.0,-3.0,-11.0,-14.0
Jan.,2000,387.0,384.0,394.0,-3.0,10.0,7.0,-2593.0,-2593.0,-2580.0,0.0,13.0,13.0
Feb.,2000,43.0,7.0,27.0,-36.0,20.0,-16.0,657.0,619.0,640.0,-38.0,21.0,-17.0
Mar.,2000,416.0,458.0,527.0,42.0,69.0,111.0,984.0,1029.0,1246.0,45.0,217.0,262.0
Apr.,2000,340.0,414.0,410.0,74.0,-4.0,70.0,1133.0,1243.0,1234.0,110.0,-9.0,101.0
May,2000,231.0,171.0,171.0,-60.0,0.0,-60.0,1059.0,1002.0,1000.0,-57.0,-2.0,-59.0
Jun.,2000,11.0,30.0,57.0,19.0,27.0,46.0,600.0,626.0,653.0,26.0,27.0,53.0
Jul.,2000,-108.0,-51.0,-40.0,57.0,11.0,68.0,-1442.0,-1398.0,-1386.0,44.0,12.0,56.0
Aug.,2000,-105.0,-91.0,-79.0,14.0,12.0,26.0,-179.0,-176.0,-174.0,3.0,2.0,5.0
Sep.,2000,252.0,195.0,195.0,-57.0,0.0,-57.0,737.0,692.0,718.0,-45.0,26.0,-19.0
Oct.,2000,137.0,77.0,66.0,-60.0,-11.0,-71.0,656.0,550.0,536.0,-106.0,-14.0,-120.0
Nov.,2000,94.0,59.0,53.0,-35.0,-6.0,-41.0,384.0,348.0,341.0,-36.0,-7.0,-43.0
Dec.,2000,105.0,19.0,36.0,-86.0,17.0,-69.0,-101.0,-190.0,-173.0,-89.0,17.0,-72.0
Jan.,2001,268.0,224.0,289.0,-44.0,65.0,21.0,-2738.0,-2782.0,-2719.0,-44.0,63.0,19.0
Feb.,2001,135.0,140.0,136.0,5.0,-4.0,1.0,656.0,665.0,656.0,9.0,-9.0,0.0
Mar.,2001,-86.0,-53.0,59.0,33.0,112.0,145.0,533.0,570.0,993.0,37.0,423.0,460.0
Apr.,2001,-223.0,-182.0,-165.0,41.0,17.0,58.0,672.0,654.0,674.0,-18.0,20.0,2.0
May,2001,-19.0,8.0,41.0,27.0,33.0,60.0,710.0,736.0,770.0,26.0,34.0,60.0
Jun.,2001,-114.0,-93.0,-99.0,21.0,-6.0,15.0,466.0,478.0,471.0,12.0,-7.0,5.0
Jul.,2001,-42.0,13.0,18.0,55.0,5.0,60.0,-1379.0,-1327.0,-1318.0,52.0,9.0,61.0
Aug.,2001,-113.0,-84.0,-54.0,29.0,30.0,59.0,-123.0,-119.0,-93.0,4.0,26.0,30.0
Sep.,2001,-199.0,-213.0,-165.0,-14.0,48.0,34.0,330.0,315.0,321.0,-15.0,6.0,-9.0
Oct.,2001,-415.0,-468.0,-448.0,-53.0,20.0,-33.0,84.0,46.0,60.0,-38.0,14.0,-24.0
Nov.,2001,-331.0,-371.0,-355.0,-40.0,16.0,-24.0,-133.0,-170.0,-153.0,-37.0,17.0,-20.0
Dec.,2001,-124.0,-130.0,-106.0,-6.0,24.0,18.0,-301.0,-307.0,-292.0,-6.0,15.0,9.0
Jan.,2002,-89.0,-126.0,-109.0,-37.0,17.0,-20.0,-2894.0,-2926.0,-2910.0,-32.0,16.0,-16.0
Feb.,2002,66.0,-2.0,-4.0,-68.0,-2.0,-70.0,622.0,554.0,554.0,-68.0,0.0,-68.0
Mar.,2002,58.0,-21.0,-5.0,-79.0,16.0,-63.0,644.0,566.0,88.0,-78.0,-478.0,-556.0
Apr.,2002,43.0,6.0,-21.0,-37.0,-27.0,-64.0,785.0,762.0,733.0,-23.0,-29.0,-52.0
May,2002,41.0,24.0,22.0,-17.0,-2.0,-19.0,840.0,826.0,823.0,-14.0,-3.0,-17.0
Jun.,2002,36.0,66.0,34.0,30.0,-32.0,-2.0,415.0,446.0,413.0,31.0,-33.0,-2.0
Jul.,2002,6.0,67.0,54.0,61.0,-13.0,48.0,-1305.0,-1242.0,-1255.0,63.0,-13.0,50.0
Aug.,2002,39.0,107.0,123.0,68.0,16.0,84.0,15.0,84.0,96.0,69.0,12.0,81.0
Sep.,2002,-43.0,-13.0,-84.0,30.0,-71.0,-41.0,478.0,511.0,522.0,33.0,11.0,44.0
Oct.,2002,-5.0,86.0,69.0,91.0,-17.0,74.0,567.0,601.0,580.0,34.0,-21.0,13.0
Nov.,2002,-40.0,-88.0,-81.0,-48.0,7.0,-41.0,100.0,58.0,63.0,-42.0,5.0,-37.0
Dec.,2002,-101.0,-156.0,-147.0,-55.0,9.0,-46.0,-341.0,-393.0,-377.0,-52.0,16.0,-36.0
Jan.,2003,143.0,185.0,203.0,42.0,18.0,60.0,-2722.0,-2684.0,-2669.0,38.0,15.0,53.0
Feb.,2003,-308.0,-357.0,-353.0,-49.0,4.0,-45.0,315.0,274.0,276.0,-41.0,2.0,-39.0
Mar.,2003,-108.0,-124.0,0.0,-16.0,,,496.0,484.0,0.0,-12.0,,
Apr.,2003,-48.0,0.0,0.0,,,,714.0,0.0,0.0,,,
May,2003,-17.0,-70.0,-76.0,-53.0,-6.0,-59.0,729.0,684.0,680.0,-45.0,-4.0,-49.0
Jun.,2003,-30.0,-72.0,-83.0,-42.0,-11.0,-53.0,349.0,311.0,303.0,-38.0,-8.0,-46.0
Jul.,2003,-44.0,-49.0,-57.0,-5.0,-8.0,-13.0,-1355.0,-1337.0,-1343.0,18.0,-6.0,12.0
Aug.,2003,-93.0,-41.0,35.0,52.0,76.0,128.0,-76.0,5.0,32.0,81.0,27.0,108.0
Sep.,2003,57.0,125.0,99.0,68.0,-26.0,42.0,490.0,616.0,601.0,126.0,-15.0,111.0
Oct.,2003,126.0,137.0,100.0,11.0,-37.0,-26.0,822.0,821.0,791.0,-1.0,-30.0,-31.0
Nov.,2003,57.0,43.0,83.0,-14.0,40.0,26.0,143.0,132.0,46.0,-11.0,-86.0,-97.0
Dec.,2003,1.0,16.0,8.0,15.0,-8.0,7.0,-202.0,-193.0,-209.0,9.0,-16.0,-7.0
Jan.,2004,112.0,97.0,159.0,-15.0,62.0,47.0,-2624.0,-2677.0,-2672.0,-53.0,5.0,-48.0
Feb.,2004,21.0,46.0,83.0,25.0,37.0,62.0,588.0,604.0,596.0,16.0,-8.0,8.0
Mar.,2004,308.0,337.0,353.0,29.0,16.0,45.0,1007.0,1034.0,1030.0,27.0,-4.0,23.0
Apr.,2004,288.0,346.0,324.0,58.0,-22.0,36.0,1109.0,1159.0,1162.0,50.0,3.0,53.0
May,2004,248.0,235.0,208.0,-13.0,-27.0,-40.0,939.0,897.0,903.0,-42.0,6.0,-36.0
Jun.,2004,112.0,78.0,96.0,-34.0,18.0,-16.0,484.0,444.0,444.0,-40.0,0.0,-40.0
Jul.,2004,32.0,73.0,85.0,41.0,12.0,53.0,-1206.0,-1135.0,-1152.0,71.0,-17.0,54.0
Aug.,2004,144.0,128.0,198.0,-16.0,70.0,54.0,12.0,39.0,36.0,27.0,-3.0,24.0
Sep.,2004,96.0,139.0,119.0,43.0,-20.0,23.0,704.0,730.0,715.0,26.0,-15.0,11.0
Oct.,2004,337.0,303.0,312.0,-34.0,9.0,-25.0,1051.0,1014.0,1004.0,-37.0,-10.0,-47.0
Nov.,2004,112.0,137.0,132.0,25.0,-5.0,20.0,224.0,279.0,267.0,55.0,-12.0,43.0
Dec.,2004,157.0,133.0,155.0,-24.0,22.0,-2.0,-180.0,-206.0,-219.0,-26.0,-13.0,-39.0
Jan.,2005,146.0,132.0,124.0,-14.0,-8.0,-22.0,-2662.0,-2713.0,-2692.0,-51.0,21.0,-30.0
Feb.,2005,262.0,243.0,300.0,-19.0,57.0,38.0,856.0,833.0,842.0,-23.0,9.0,-14.0
Mar.,2005,110.0,146.0,122.0,36.0,-24.0,12.0,817.0,858.0,859.0,41.0,1.0,42.0
Apr.,2005,274.0,274.0,292.0,0.0,18.0,18.0,1179.0,1178.0,1181.0,-1.0,3.0,2.0
May,2005,78.0,104.0,126.0,26.0,22.0,48.0,707.0,730.0,735.0,23.0,5.0,28.0
Jun.,2005,146.0,166.0,175.0,20.0,9.0,29.0,611.0,620.0,606.0,9.0,-14.0,-5.0
Jul.,2005,207.0,242.0,277.0,35.0,35.0,70.0,-1201.0,-1139.0,-1135.0,62.0,4.0,66.0
Aug.,2005,169.0,211.0,148.0,42.0,-63.0,-21.0,123.0,210.0,187.0,87.0,-23.0,64.0
Sep.,2005,-35.0,-8.0,17.0,27.0,25.0,52.0,532.0,566.0,565.0,34.0,-1.0,33.0
Oct.,2005,56.0,44.0,25.0,-12.0,-19.0,-31.0,702.0,690.0,664.0,-12.0,-26.0,-38.0
Nov.,2005,215.0,305.0,354.0,90.0,49.0,139.0,336.0,462.0,499.0,126.0,37.0,163.0
Dec.,2005,108.0,140.0,145.0,32.0,5.0,37.0,-273.0,-272.0,-275.0,1.0,-3.0,-2.0
Jan.,2006,193.0,170.0,154.0,-23.0,-16.0,-39.0,-2625.0,-2680.0,-2713.0,-55.0,-33.0,-88.0
Feb.,2006,243.0,225.0,200.0,-18.0,-25.0,-43.0,904.0,873.0,868.0,-31.0,-5.0,-36.0
Mar.,2006,211.0,200.0,175.0,-11.0,-25.0,-36.0,939.0,921.0,920.0,-18.0,-1.0,-19.0
Apr.,2006,138.0,126.0,112.0,-12.0,-14.0,-26.0,922.0,925.0,914.0,3.0,-11.0,-8.0
May,2006,75.0,92.0,100.0,17.0,8.0,25.0,769.0,811.0,835.0,42.0,24.0,66.0
Jun.,2006,121.0,124.0,134.0,3.0,10.0,13.0,539.0,542.0,541.0,3.0,-1.0,2.0
Jul.,2006,113.0,121.0,123.0,8.0,2.0,10.0,-1266.0,-1232.0,-1232.0,34.0,0.0,34.0
Aug.,2006,128.0,188.0,230.0,60.0,42.0,102.0,107.0,206.0,224.0,99.0,18.0,117.0
Sep.,2006,51.0,148.0,203.0,97.0,55.0,152.0,462.0,628.0,680.0,166.0,52.0,218.0
Oct.,2006,92.0,79.0,86.0,-13.0,7.0,-6.0,712.0,707.0,709.0,-5.0,2.0,-3.0
Nov.,2006,132.0,154.0,196.0,22.0,42.0,64.0,318.0,354.0,409.0,36.0,55.0,91.0
Dec.,2006,167.0,206.0,226.0,39.0,20.0,59.0,-206.0,-136.0,-93.0,70.0,43.0,113.0
Jan.,2007,111.0,146.0,162.0,35.0,16.0,51.0,-2814.0,-2780.0,-2770.0,34.0,10.0,44.0
Feb.,2007,97.0,113.0,90.0,16.0,-23.0,-7.0,705.0,714.0,715.0,9.0,1.0,10.0
Mar.,2007,180.0,177.0,175.0,-3.0,-2.0,-5.0,939.0,931.0,922.0,-8.0,-9.0,-17.0
Apr.,2007,88.0,80.0,122.0,-8.0,42.0,34.0,833.0,827.0,856.0,-6.0,29.0,23.0
May,2007,157.0,190.0,188.0,33.0,-2.0,31.0,880.0,941.0,973.0,61.0,32.0,93.0
Jun.,2007,132.0,126.0,69.0,-6.0,-57.0,-63.0,504.0,506.0,506.0,2.0,0.0,2.0
Jul.,2007,92.0,68.0,93.0,-24.0,25.0,1.0,-1333.0,-1367.0,-1375.0,-34.0,-8.0,-42.0
Aug.,2007,-4.0,89.0,93.0,93.0,4.0,97.0,-42.0,123.0,123.0,165.0,0.0,165.0
Sep.,2007,110.0,96.0,44.0,-14.0,-52.0,-66.0,626.0,593.0,547.0,-33.0,-46.0,-79.0
Oct.,2007,166.0,170.0,159.0,4.0,-11.0,-7.0,759.0,797.0,802.0,38.0,5.0,43.0
Nov.,2007,94.0,115.0,60.0,21.0,-55.0,-34.0,240.0,310.0,313.0,70.0,3.0,73.0
Dec.,2007,18.0,82.0,41.0,64.0,-41.0,23.0,-339.0,-177.0,-216.0,162.0,-39.0,123.0
Jan.,2008,-17.0,-22.0,-76.0,-5.0,-54.0,-59.0,-3044.0,-3008.0,-3022.0,36.0,-14.0,22.0
Feb.,2008,-63.0,-76.0,-83.0,-13.0,-7.0,-20.0,525.0,529.0,527.0,4.0,-2.0,2.0
Mar.,2008,-80.0,-81.0,-88.0,-1.0,-7.0,-8.0,574.0,580.0,594.0,6.0,14.0,20.0
Apr.,2008,-20.0,-28.0,-67.0,-8.0,-39.0,-47.0,703.0,712.0,697.0,9.0,-15.0,-6.0
May,2008,-49.0,-62.0,-47.0,-13.0,15.0,2.0,648.0,653.0,675.0,5.0,22.0,27.0
Jun.,2008,-62.0,-51.0,-100.0,11.0,-49.0,-38.0,241.0,289.0,271.0,48.0,-18.0,30.0
Jul.,2008,-51.0,-60.0,-67.0,-9.0,-7.0,-16.0,-1458.0,-1468.0,-1417.0,-10.0,51.0,41.0
Aug.,2008,-84.0,-73.0,-127.0,11.0,-54.0,-43.0,-87.0,-28.0,-13.0,59.0,15.0,74.0
Sep.,2008,-159.0,-284.0,-403.0,-125.0,-119.0,-244.0,245.0,107.0,128.0,-138.0,21.0,-117.0
Oct.,2008,-240.0,-320.0,-423.0,-80.0,-103.0,-183.0,303.0,360.0,341.0,57.0,-19.0,38.0
Nov.,2008,-533.0,-584.0,-597.0,-51.0,-13.0,-64.0,-634.0,-642.0,-610.0,-8.0,32.0,24.0
Dec.,2008,-524.0,-577.0,-681.0,-53.0,-104.0,-157.0,-954.0,-935.0,-965.0,19.0,-30.0,-11.0
Jan.,2009,-598.0,-655.0,-741.0,-57.0,-86.0,-143.0,-3606.0,-3570.0,-3615.0,36.0,-45.0,-9.0
Feb.,2009,-651.0,-651.0,-681.0,0.0,-30.0,-30.0,-248.0,-172.0,-164.0,76.0,8.0,84.0
Mar.,2009,-663.0,-699.0,-652.0,-36.0,47.0,11.0,-58.0,-84.0,-61.0,-26.0,23.0,-3.0
Apr.,2009,-539.0,-504.0,-519.0,35.0,-15.0,20.0,241.0,271.0,259.0,30.0,-12.0,18.0
May,2009,-345.0,-322.0,-303.0,23.0,19.0,42.0,319.0,383.0,384.0,64.0,1.0,65.0
Jun.,2009,-467.0,-443.0,-463.0,24.0,-20.0,4.0,-110.0,-69.0,-95.0,41.0,-26.0,15.0
Jul.,2009,-247.0,-276.0,-304.0,-29.0,-28.0,-57.0,-1333.0,-1443.0,-1498.0,-110.0,-55.0,-165.0
Aug.,2009,-216.0,-201.0,-154.0,15.0,47.0,62.0,-179.0,-124.0,-81.0,55.0,43.0,98.0
Sep.,2009,-263.0,-219.0,-139.0,44.0,80.0,124.0,303.0,353.0,389.0,50.0,36.0,86.0
Oct.,2009,-190.0,-111.0,-127.0,79.0,-16.0,63.0,641.0,708.0,678.0,67.0,-30.0,37.0
Nov.,2009,-11.0,4.0,64.0,15.0,60.0,75.0,80.0,114.0,80.0,34.0,-34.0,0.0
Dec.,2009,-85.0,-150.0,-109.0,-65.0,41.0,-24.0,-406.0,-538.0,-521.0,-132.0,17.0,-115.0
Jan.,2010,-20.0,-26.0,14.0,-6.0,40.0,34.0,-2819.0,-2842.0,-2834.0,-23.0,8.0,-15.0
Feb.,2010,-36.0,-14.0,39.0,22.0,53.0,75.0,473.0,469.0,471.0,-4.0,2.0,-2.0
Mar.,2010,162.0,230.0,208.0,68.0,-22.0,46.0,843.0,876.0,873.0,33.0,-3.0,30.0
Apr.,2010,290.0,290.0,313.0,0.0,23.0,23.0,1158.0,1150.0,1158.0,-8.0,8.0,0.0
May,2010,431.0,433.0,432.0,2.0,-1.0,1.0,1090.0,1093.0,1106.0,3.0,13.0,16.0
Jun.,2010,-125.0,-221.0,-175.0,-96.0,46.0,-50.0,247.0,123.0,124.0,-124.0,1.0,-123.0
Jul.,2010,-131.0,-54.0,-66.0,77.0,-12.0,65.0,-1391.0,-1269.0,-1287.0,122.0,-18.0,104.0
Aug.,2010,-54.0,-57.0,-1.0,-3.0,56.0,53.0,72.0,77.0,76.0,5.0,-1.0,4.0
Sep.,2010,-95.0,-41.0,-24.0,54.0,17.0,71.0,428.0,461.0,493.0,33.0,32.0,65.0
Oct.,2010,151.0,172.0,210.0,21.0,38.0,59.0,919.0,966.0,972.0,47.0,6.0,53.0
Nov.,2010,39.0,71.0,93.0,32.0,22.0,54.0,217.0,271.0,300.0,54.0,29.0,83.0
Dec.,2010,103.0,121.0,152.0,18.0,31.0,49.0,-357.0,-309.0,-321.0,48.0,-12.0,36.0
Jan.,2011,36.0,63.0,68.0,27.0,5.0,32.0,-2898.0,-2867.0,-2867.0,31.0,0.0,31.0
Feb.,2011,192.0,194.0,235.0,2.0,41.0,43.0,816.0,799.0,811.0,-17.0,12.0,-5.0
Mar.,2011,216.0,221.0,194.0,5.0,-27.0,-22.0,925.0,925.0,905.0,0.0,-20.0,-20.0
Apr.,2011,244.0,232.0,217.0,-12.0,-15.0,-27.0,1169.0,1172.0,1173.0,3.0,1.0,4.0
May,2011,54.0,25.0,53.0,-29.0,28.0,-1.0,682.0,631.0,635.0,-51.0,4.0,-47.0
Jun.,2011,18.0,46.0,20.0,28.0,-26.0,2.0,376.0,444.0,437.0,68.0,-7.0,61.0
Jul.,2011,117.0,85.0,127.0,-32.0,42.0,10.0,-1231.0,-1356.0,-1323.0,-125.0,33.0,-92.0
Aug.,2011,0.0,57.0,104.0,57.0,47.0,104.0,118.0,212.0,237.0,94.0,25.0,119.0
Sep.,2011,103.0,158.0,210.0,55.0,52.0,107.0,519.0,631.0,688.0,112.0,57.0,169.0
Oct.,2011,80.0,100.0,112.0,20.0,12.0,32.0,883.0,874.0,882.0,-9.0,8.0,-1.0
Nov.,2011,120.0,100.0,157.0,-20.0,57.0,37.0,339.0,312.0,302.0,-27.0,-10.0,-37.0
Dec.,2011,200.0,203.0,223.0,3.0,20.0,23.0,-219.0,-220.0,-207.0,-1.0,13.0,12.0
Jan.,2012,243.0,284.0,275.0,41.0,-9.0,32.0,-2689.0,-2652.0,-2668.0,37.0,-16.0,21.0
Feb.,2012,227.0,240.0,259.0,13.0,19.0,32.0,851.0,902.0,913.0,51.0,11.0,62.0
Mar.,2012,120.0,154.0,143.0,34.0,-11.0,23.0,811.0,861.0,871.0,50.0,10.0,60.0
Apr.,2012,115.0,77.0,68.0,-38.0,-9.0,-47.0,896.0,857.0,864.0,-39.0,7.0,-32.0
May,2012,69.0,77.0,87.0,8.0,10.0,18.0,789.0,780.0,778.0,-9.0,-2.0,-11.0
Jun.,2012,80.0,64.0,45.0,-16.0,-19.0,-35.0,391.0,349.0,334.0,-42.0,-15.0,-57.0
Jul.,2012,163.0,141.0,181.0,-22.0,40.0,18.0,-1204.0,-1217.0,-1204.0,-13.0,13.0,0.0
Aug.,2012,96.0,142.0,192.0,46.0,50.0,96.0,252.0,370.0,381.0,118.0,11.0,129.0
Sep.,2012,114.0,148.0,132.0,34.0,-16.0,18.0,574.0,647.0,632.0,73.0,-15.0,58.0
Oct.,2012,171.0,138.0,137.0,-33.0,-1.0,-34.0,911.0,836.0,842.0,-75.0,6.0,-69.0
Nov.,2012,146.0,161.0,247.0,15.0,86.0,101.0,367.0,357.0,395.0,-10.0,38.0,28.0
Dec.,2012,155.0,196.0,219.0,41.0,23.0,64.0,-243.0,-91.0,-76.0,152.0,15.0,167.0
Jan.,2013,157.0,119.0,148.0,-38.0,29.0,-9.0,-2840.0,-2916.0,-2856.0,-76.0,60.0,-16.0
Feb.,2013,236.0,268.0,332.0,32.0,64.0,96.0,959.0,1022.0,1048.0,63.0,26.0,89.0
Mar.,2013,88.0,138.0,142.0,50.0,4.0,54.0,759.0,810.0,818.0,51.0,8.0,59.0
Apr.,2013,165.0,149.0,199.0,-16.0,50.0,34.0,932.0,912.0,943.0,-20.0,31.0,11.0
May,2013,175.0,195.0,176.0,20.0,-19.0,1.0,885.0,870.0,870.0,-15.0,0.0,-15.0
Jun.,2013,195.0,188.0,172.0,-7.0,-16.0,-23.0,422.0,394.0,386.0,-28.0,-8.0,-36.0
Jul.,2013,162.0,104.0,89.0,-58.0,-15.0,-73.0,-1113.0,-1186.0,-1192.0,-73.0,-6.0,-79.0
Aug.,2013,169.0,193.0,238.0,24.0,45.0,69.0,378.0,411.0,425.0,33.0,14.0,47.0
Sep.,2013,148.0,163.0,175.0,15.0,12.0,27.0,612.0,598.0,610.0,-14.0,12.0,-2.0
Oct.,2013,204.0,200.0,200.0,-4.0,0.0,-4.0,940.0,909.0,911.0,-31.0,2.0,-29.0
Nov.,2013,203.0,241.0,274.0,38.0,33.0,71.0,421.0,476.0,523.0,55.0,47.0,102.0
Dec.,2013,74.0,75.0,84.0,1.0,9.0,10.0,-246.0,-270.0,-267.0,-24.0,3.0,-21.0
Jan.,2014,113.0,129.0,144.0,16.0,15.0,31.0,-2870.0,-2836.0,-2818.0,34.0,18.0,52.0
Feb.,2014,175.0,197.0,222.0,22.0,25.0,47.0,750.0,743.0,741.0,-7.0,-2.0,-9.0
Mar.,2014,192.0,203.0,203.0,11.0,0.0,11.0,941.0,944.0,955.0,3.0,11.0,14.0
Apr.,2014,288.0,282.0,304.0,-6.0,22.0,16.0,1152.0,1125.0,1118.0,-27.0,-7.0,-34.0
May,2014,217.0,224.0,229.0,7.0,5.0,12.0,920.0,914.0,919.0,-6.0,5.0,-1.0
Jun.,2014,288.0,298.0,267.0,10.0,-31.0,-21.0,582.0,592.0,588.0,10.0,-4.0,6.0
Jul.,2014,209.0,212.0,243.0,3.0,31.0,34.0,-1110.0,-1110.0,-1103.0,0.0,7.0,7.0
Aug.,2014,142.0,180.0,203.0,38.0,23.0,61.0,327.0,382.0,392.0,55.0,10.0,65.0
Sep.,2014,248.0,256.0,271.0,8.0,15.0,23.0,701.0,692.0,692.0,-9.0,0.0,-9.0
Oct.,2014,214.0,243.0,261.0,29.0,18.0,47.0,1064.0,1051.0,1058.0,-13.0,7.0,-6.0
Nov.,2014,321.0,353.0,423.0,32.0,70.0,102.0,497.0,510.0,478.0,13.0,-32.0,-19.0
Dec.,2014,252.0,329.0,329.0,77.0,0.0,77.0,-65.0,5.0,6.0,70.0,1.0,71.0
Jan.,2015,257.0,239.0,201.0,-18.0,-38.0,-56.0,-2755.0,-2821.0,-2813.0,-66.0,8.0,-58.0
Feb.,2015,295.0,264.0,266.0,-31.0,2.0,-29.0,903.0,832.0,848.0,-71.0,16.0,-55.0
Mar.,2015,126.0,85.0,119.0,-41.0,34.0,-7.0,823.0,765.0,779.0,-58.0,14.0,-44.0
Apr.,2015,223.0,221.0,187.0,-2.0,-34.0,-36.0,1178.0,1152.0,1139.0,-26.0,-13.0,-39.0
May,2015,280.0,254.0,260.0,-26.0,6.0,-20.0,970.0,925.0,928.0,-45.0,3.0,-42.0
Jun.,2015,223.0,231.0,245.0,8.0,14.0,22.0,455.0,474.0,471.0,19.0,-3.0,16.0
Jul.,2015,215.0,245.0,223.0,30.0,-22.0,8.0,-1045.0,-968.0,-964.0,77.0,4.0,81.0
Aug.,2015,173.0,136.0,153.0,-37.0,17.0,-20.0,258.0,197.0,190.0,-61.0,-7.0,-68.0
Sep.,2015,142.0,137.0,145.0,-5.0,8.0,3.0,558.0,525.0,542.0,-33.0,17.0,-16.0
Oct.,2015,271.0,298.0,307.0,27.0,9.0,36.0,1152.0,1180.0,1160.0,28.0,-20.0,8.0
Nov.,2015,211.0,252.0,280.0,41.0,28.0,69.0,344.0,416.0,433.0,72.0,17.0,89.0
Dec.,2015,292.0,262.0,271.0,-30.0,9.0,-21.0,11.0,-10.0,-6.0,-21.0,4.0,-17.0
Jan.,2016,151.0,172.0,168.0,21.0,-4.0,17.0,-2989.0,-2961.0,-2966.0,28.0,-5.0,23.0
Feb.,2016,242.0,245.0,233.0,3.0,-12.0,-9.0,850.0,837.0,842.0,-13.0,5.0,-8.0
