
Month,Year,SA_1st,SA_2nd,SA_3rd,SA_Rev_2nd_1st,SA_Rev_3rd_2nd,SA_Rev_3rd_1st,NSA_1st,NSA_2nd,NSA_3rd,NSA_Rev_2nd_1st,NSA_Rev_3rd_2nd,NSA_Rev_3rd_1st
Mar.,1983,119.0,196.0,69.0,77.0,-127.0,-50.0,522.0,597.0,428.0,75.0,-169.0,-94.0
Apr.,1983,258.0,273.0,287.0,15.0,14.0,29.0,776.0,833.0,844.0,57.0,11.0,68.0
May,1983,374.0,315.0,320.0,-59.0,5.0,-54.0,868.0,811.0,814.0,-57.0,3.0,-54.0
Jun.,1983,344.0,411.0,423.0,67.0,12.0,79.0,744.0,811.0,824.0,67.0,13.0,80.0
Jul.,1983,487.0,358.0,308.0,-129.0,-50.0,-179.0,-534.0,-662.0,-708.0,-128.0,-46.0,-174.0
Aug.,1983,-411.0,-417.0,-417.0,-6.0,0.0,-6.0,-343.0,-347.0,-347.0,-4.0,0.0,-4.0
Sep.,1983,733.0,1018.0,1116.0,285.0,98.0,383.0,1234.0,1517.0,1614.0,283.0,97.0,380.0
Oct.,1983,320.0,204.0,236.0,-116.0,32.0,-84.0,600.0,480.0,512.0,-120.0,32.0,-88.0
Nov.,1983,370.0,326.0,268.0,-44.0,-58.0,-102.0,435.0,393.0,336.0,-42.0,-57.0,-99.0
Dec.,1983,231.0,228.0,244.0,-3.0,16.0,13.0,171.0,171.0,186.0,0.0,15.0,15.0
Jan.,1984,287.0,264.0,331.0,-23.0,67.0,44.0,-1656.0,-1675.0,-1612.0,-19.0,63.0,44.0
Feb.,1984,386.0,417.0,427.0,31.0,10.0,41.0,461.0,498.0,505.0,37.0,7.0,44.0
Mar.,1984,143.0,149.0,212.0,6.0,63.0,69.0,655.0,663.0,1094.0,8.0,431.0,439.0
Apr.,1984,407.0,398.0,391.0,-9.0,-7.0,-16.0,1005.0,1000.0,995.0,-5.0,-5.0,-10.0
May,1984,232.0,269.0,319.0,37.0,50.0,87.0,829.0,865.0,917.0,36.0,52.0,88.0
Jun.,1984,301.0,308.0,367.0,7.0,59.0,66.0,792.0,802.0,857.0,10.0,55.0,65.0
Jul.,1984,302.0,216.0,215.0,-86.0,-1.0,-87.0,-684.0,-767.0,-764.0,-83.0,3.0,-80.0
Aug.,1984,159.0,182.0,173.0,23.0,-9.0,14.0,250.0,268.0,261.0,18.0,-7.0,11.0
Sep.,1984,139.0,231.0,284.0,92.0,53.0,145.0,717.0,806.0,858.0,89.0,52.0,141.0
Oct.,1984,441.0,343.0,347.0,-98.0,4.0,-94.0,634.0,536.0,541.0,-98.0,5.0,-93.0
Nov.,1984,303.0,335.0,340.0,32.0,5.0,37.0,321.0,353.0,358.0,32.0,5.0,37.0
Dec.,1984,309.0,167.0,187.0,-142.0,20.0,-122.0,179.0,34.0,51.0,-145.0,17.0,-128.0
Jan.,1985,348.0,312.0,364.0,-36.0,52.0,16.0,-1697.0,-1733.0,-1680.0,-36.0,53.0,17.0
Feb.,1985,119.0,112.0,116.0,-7.0,4.0,-3.0,224.0,218.0,223.0,-6.0,5.0,-1.0
Mar.,1985,381.0,353.0,319.0,-28.0,-34.0,-62.0,814.0,787.0,1194.0,-27.0,407.0,380.0
Apr.,1985,217.0,208.0,210.0,-9.0,2.0,-7.0,845.0,864.0,864.0,19.0,0.0,19.0
May,1985,345.0,266.0,301.0,-79.0,35.0,-44.0,921.0,843.0,878.0,-78.0,35.0,-43.0
Jun.,1985,80.0,28.0,52.0,-52.0,24.0,-28.0,624.0,566.0,590.0,-58.0,24.0,-34.0
Jul.,1985,243.0,249.0,234.0,6.0,-15.0,-9.0,-717.0,-714.0,-727.0,3.0,-13.0,-10.0
Aug.,1985,288.0,280.0,270.0,-8.0,-10.0,-18.0,286.0,274.0,265.0,-12.0,-9.0,-21.0
Sep.,1985,128.0,138.0,240.0,10.0,102.0,112.0,751.0,760.0,861.0,9.0,101.0,110.0
Oct.,1985,414.0,354.0,342.0,-60.0,-12.0,-72.0,604.0,543.0,533.0,-61.0,-10.0,-71.0
Nov.,1985,182.0,180.0,242.0,-2.0,62.0,60.0,221.0,218.0,281.0,-3.0,63.0,60.0
Dec.,1985,320.0,268.0,285.0,-52.0,17.0,-35.0,173.0,122.0,139.0,-51.0,17.0,-34.0
Jan.,1986,566.0,421.0,410.0,-145.0,-11.0,-156.0,-1542.0,-1683.0,-1694.0,-141.0,-11.0,-152.0
Feb.,1986,226.0,153.0,160.0,-73.0,7.0,-66.0,286.0,220.0,225.0,-66.0,5.0,-61.0
Mar.,1986,192.0,178.0,55.0,-14.0,-123.0,-137.0,678.0,662.0,357.0,-16.0,-305.0,-321.0
Apr.,1986,206.0,313.0,299.0,107.0,-14.0,93.0,895.0,952.0,936.0,57.0,-16.0,41.0
May,1986,149.0,125.0,135.0,-24.0,10.0,-14.0,801.0,780.0,788.0,-21.0,8.0,-13.0
Jun.,1986,-89.0,-54.0,-75.0,35.0,-21.0,14.0,395.0,434.0,411.0,39.0,-23.0,16.0
Jul.,1986,389.0,279.0,262.0,-110.0,-17.0,-127.0,-631.0,-736.0,-754.0,-105.0,-18.0,-123.0
Aug.,1986,202.0,156.0,178.0,-46.0,22.0,-24.0,216.0,170.0,191.0,-46.0,21.0,-25.0
Sep.,1986,107.0,165.0,277.0,58.0,112.0,170.0,731.0,788.0,900.0,57.0,112.0,169.0
Oct.,1986,298.0,260.0,266.0,-38.0,6.0,-32.0,537.0,498.0,506.0,-39.0,8.0,-31.0
Nov.,1986,249.0,239.0,242.0,-10.0,3.0,-7.0,289.0,279.0,284.0,-10.0,5.0,-5.0
Dec.,1986,269.0,225.0,254.0,-44.0,29.0,-15.0,117.0,69.0,96.0,-48.0,27.0,-21.0
Jan.,1987,448.0,319.0,304.0,-129.0,-15.0,-144.0,-1652.0,-1775.0,-1790.0,-123.0,-15.0,-138.0
Feb.,1987,337.0,236.0,228.0,-101.0,-8.0,-109.0,410.0,315.0,309.0,-95.0,-6.0,-101.0
Mar.,1987,164.0,155.0,179.0,-9.0,24.0,15.0,648.0,637.0,-32.0,-11.0,-669.0,-680.0
Apr.,1987,316.0,280.0,269.0,-36.0,-11.0,-47.0,960.0,928.0,919.0,-32.0,-9.0,-41.0
May,1987,123.0,74.0,110.0,-49.0,36.0,-13.0,774.0,722.0,759.0,-52.0,37.0,-15.0
Jun.,1987,116.0,103.0,110.0,-13.0,7.0,-6.0,567.0,556.0,564.0,-11.0,8.0,-3.0
Jul.,1987,304.0,296.0,308.0,-8.0,12.0,4.0,-764.0,-770.0,-757.0,-6.0,13.0,7.0
Aug.,1987,156.0,152.0,149.0,-4.0,-3.0,-7.0,214.0,207.0,205.0,-7.0,-2.0,-9.0
Sep.,1987,132.0,121.0,159.0,-11.0,38.0,27.0,771.0,761.0,803.0,-10.0,42.0,32.0
