date,month,year,payems,sa_1st,sa_2nd,sa_3rd,sa_rev_2nd_1st,sa_rev_3rd_2nd,sa_rev_3rd_1st,nsa_1st,nsa_2nd,nsa_3rd,nsa_rev_2nd_1st,nsa_rev_3rd_2nd,nsa_rev_3rd_1st
2015-04-01,Apr.,2015,141196,223,221,187,-2,-34,-36,1178,1152,1139,-26,-13,-39
2015-05-01,May,2015,141538,280,254,260,-26,6,-20,970,925,928,-45,3,-42
2015-06-01,Jun.,2015,141709,223,231,245,8,14,22,455,474,471,19,-3,16
2015-07-01,Jul.,2015,141991,215,245,223,30,-22,8,-1045,-968,-964,77,4,81
2015-08-01,Aug.,2015,142125,173,136,153,-37,17,-20,258,197,190,-61,-7,-68
2015-09-01,Sep.,2015,142275,142,137,145,-5,8,3,558,525,542,-33,17,-16
2015-10-01,Oct.,2015,142579,271,298,307,27,9,36,1152,1180,1160,28,-20,8
2015-11-01,Nov.,2015,142808,211,252,280,41,28,69,344,416,433,72,17,89
2015-12-01,Dec.,2015,143077,292,262,271,-30,9,-21,11,-10,-6,-21,4,-17
2016-01-01,Jan.,2016,143210,151,172,168,21,-4,17,-2989,-2961,-2966,28,-5,23
2016-02-01,Feb.,2016,143407,242,245,233,3,-12,-9,850,837,842,-13,5,-8
2016-03-01,Mar.,2016,143662,215,208,186,-7,-22,-29,890,895,903,5,8,13
2016-04-01,Apr.,2016,143855,160,123,144,-37,21,-16,1057,1046,1039,-11,-7,-18
2016-05-01,May,2016,143900,38,11,24,-27,13,-14,651,623,621,-28,-2,-30
2016-06-01,Jun.,2016,144146,287,292,271,5,-21,-16,682,660,644,-22,-16,-38
2016-07-01,Jul.,2016,144520,255,275,252,20,-23,-3,-1030,-999,-1016,31,-17,14
2016-08-01,Aug.,2016,144662,151,167,176,16,9,25,224,233,230,9,-3,6
2016-09-01,Sep.,2016,144967,156,191,208,35,17,52,527,616,639,89,23,112
2016-10-01,Oct.,2016,145066,161,142,135,-19,-7,-26,899,868,842,-31,-26,-57
2016-11-01,Nov.,2016,145183,178,204,164,26,-40,-14,479,524,424,45,-100,-55
2016-12-01,Dec.,2016,145408,156,157,155,1,-2,-1,-270,-225,-235,45,-10,35
2017-01-01,Jan.,2017,145628,227,238,216,11,-22,-11,-2948,-2897,-2885,51,12,63
2017-02-01,Feb.,2017,145848,235,219,232,-16,13,-3,1010,1006,1019,-4,13,9
2017-03-01,Mar.,2017,145969,98,79,50,-19,-29,-48,670,661,648,-9,-13,-22
2017-04-01,Apr.,2017,146174,211,174,207,-37,33,-4,1026,998,1008,-28,10,-18
2017-05-01,May,2017,146380,138,152,145,14,-7,7,810,841,836,31,-5,26
2017-06-01,Jun.,2017,146583,222,231,210,9,-21,-12,599,623,637,24,14,38
2017-07-01,Jul.,2017,146772,209,189,138,-20,-51,-71,-1039,-1091,-1133,-52,-42,-94
2017-08-01,Aug.,2017,146919,156,169,208,13,39,52,211,252,299,41,47,88
2017-09-01,Sep.,2017,147007,-33,18,38,51,20,71,340,377,367,37,-10,27
2017-10-01,Oct.,2017,147150,261,244,211,-17,-33,-50,1042,1021,998,-21,-23,-44
2017-11-01,Nov.,2017,147373,228,252,216,24,-36,-12,532,574,580,42,6,48
2017-12-01,Dec.,2017,147523,148,160,175,12,15,27,-180,-225,-253,-45,-28,-73
2018-01-01,Jan.,2018,147660,200,239,176,39,-63,-24,-3085,-3058,-3095,27,-37,-10
2018-02-01,Feb.,2018,148054,313,326,324,13,-2,11,1224,1232,1239,8,7,15
2018-03-01,Mar.,2018,148280,103,135,155,32,20,52,665,695,710,30,15,45
2018-04-01,Apr.,2018,148422,164,159,175,-5,16,11,998,982,988,-16,6,-10
2018-05-01,May,2018,148740,223,244,268,21,24,45,943,962,973,19,11,30
2018-06-01,Jun.,2018,148959,213,248,208,35,-40,-5,646,712,695,66,-17,49
2018-07-01,Jul.,2018,149020,157,147,165,-10,18,8,-1156,-1148,-1143,8,5,13
2018-08-01,Aug.,2018,149279,201,270,286,69,16,85,334,494,509,160,15,175
2018-09-01,Sep.,2018,149358,134,118,119,-16,1,-15,350,332,335,-18,3,-15
2018-10-01,Oct.,2018,149526,250,237,274,-13,37,24,1015,1016,1019,1,3,4
2018-11-01,Nov.,2018,149617,155,176,196,21,20,41,475,484,522,9,38,47
2018-12-01,Dec.,2018,149809,312,222,227,-90,5,-85,-54,-193,-172,-139,21,-118
2019-01-01,Jan.,2019,150059,304,311,312,7,1,8,-2981,-2897,-2908,84,-11,73
2019-02-01,Feb.,2019,150065,20,33,56,13,23,36,827,848,853,21,5,26
2019-03-01,Mar.,2019,150295,196,189,153,-7,-36,-43,724,714,716,-10,2,-8
2019-04-01,Apr.,2019,150593,263,224,216,-39,-8,-47,1126,1078,1074,-48,-4,-52
2019-05-01,May,2019,150621,75,72,62,-3,-10,-13,687,662,672,-25,10,-15
2019-06-01,Jun.,2019,150839,224,193,178,-31,-15,-46,707,632,633,-75,1,-74
2019-07-01,Jul.,2019,150936,164,159,166,-5,7,2,-1059,-1074,-1074,-15,0,-15
2019-08-01,Aug.,2019,151171,130,168,219,38,51,89,348,418,438,70,20,90
2019-09-01,Sep.,2019,151365,136,180,193,44,13,57,362,408,409,46,1,47
2019-10-01,Oct.,2019,151460,128,156,152,28,-4,24,947,986,985,39,-1,38
2019-11-01,Nov.,2019,151668,266,256,261,-10,5,-5,622,619,607,-3,-12,-15
2019-12-01,Dec.,2019,151795,145,147,184,2,37,39,-278,-243,-248,35,-5,30
2020-01-01,Jan.,2020,152031,225,273,214,48,-59,-11,-2832,-2812,-2776,20,36,56
2020-02-01,Feb.,2020,152292,273,275,251,2,-24,-22,880,902,923,22,21,43
2020-03-01,Mar.,2020,150895,-701,-881,-1373,-180,-492,-672,-251,-493,-1003,-242,-510,-752
2020-04-01,Apr.,2020,130424,-20537,-20687,-20787,-150,-100,-250,-19512,-19662,-19756,-150,-94,-244
2020-05-01,May,2020,133040,2509,2699,2725,190,26,216,2931,3093,3115,162,22,184
2020-06-01,Jun.,2020,137671,4800,4791,4781,-9,-10,-19,5103,5077,5070,-26,-7,-33
2020-07-01,Jul.,2020,139255,1763,1734,1761,-29,27,-2,591,561,574,-30,13,-17
2020-08-01,Aug.,2020,140819,1371,1489,1493,118,4,122,1535,1642,1624,107,-18,89
2020-09-01,Sep.,2020,141770,661,672,711,11,39,50,1137,1154,1201,17,47,64
2020-10-01,Oct.,2020,142461,638,610,654,-28,44,16,1605,1587,1601,-18,14,-4
2020-11-01,Nov.,2020,142731,245,336,264,91,-72,19,517,603,553,86,-50,36
2020-12-01,Dec.,2020,142548,-140,-227,-306,-87,-79,-166,-328,-421,-519,-93,-98,-191
2021-01-01,Jan.,2021,142913,49,166,233,117,67,184,-2773,-2654,-2622,119,32,151
2021-02-01,Feb.,2021,143422,379,468,536,89,68,157,978,1097,1153,119,56,175
2021-03-01,Mar.,2021,144246,916,770,785,-146,15,-131,1323,1176,1182,-147,6,-141
2021-04-01,Apr.,2021,144611,266,278,269,12,-9,3,1089,1097,1082,8,-15,-7
2021-05-01,May,2021,145032,559,583,614,24,31,55,973,972,958,-1,-14,-15
2021-06-01,Jun.,2021,145828,850,938,962,88,24,112,1148,1248,1223,100,-25,75
2021-07-01,Jul.,2021,146759,943,1053,1091,110,38,148,-133,-34,-42,99,-8,91
2021-08-01,Aug.,2021,147246,235,366,483,131,117,248,312,492,476,180,-16,164
2021-09-01,Sep.,2021,147712,194,312,379,118,67,185,654,647,638,-7,-9,-16
2021-10-01,Oct.,2021,148569,531,546,648,15,102,117,1558,1576,1595,18,19,37
2021-11-01,Nov.,2021,149206,210,249,647,39,398,437,778,853,900,75,47,122
2021-12-01,Dec.,2021,149781,199,510,588,311,78,389,72,139,142,67,3,70
2022-01-01,Jan.,2022,150006,467,481,504,14,23,37,-2824,-2842,-2847,-18,-5,-23
2022-02-01,Feb.,2022,150875,678,750,714,72,-36,36,1457,1639,1638,182,-1,181
2022-03-01,Mar.,2022,151346,431,428,398,-3,-30,-33,794,769,762,-25,-7,-32
2022-04-01,Apr.,2022,151651,428,436,368,8,-68,-60,1071,1059,1052,-12,-7,-19
2022-05-01,May,2022,151892,390,384,386,-6,2,-4,809,791,771,-18,-20,-38
2022-06-01,Jun.,2022,152353,372,398,293,26,-105,-79,944,906,879,-38,-27,-65
2022-07-01,Jul.,2022,153049,528,526,537,-2,11,9,-385,-344,-349,41,-5,36
2022-08-01,Aug.,2022,153286,315,315,292,0,-23,-23,309,384,416,75,32,107
2022-09-01,Sep.,2022,153513,263,315,269,52,-46,6,431,523,530,92,7,99
2022-10-01,Oct.,2022,153913,261,284,263,23,-21,2,1172,1212,1197,40,-15,25
2022-11-01,Nov.,2022,154210,263,256,290,-7,34,27,574,614,601,40,-13,27
2022-12-01,Dec.,2022,154336,223,260,239,37,-21,16,-244,-293,-298,-49,-5,-54
2023-01-01,Jan.,2023,154780,517,504,472,-13,-32,-45,-2505,-2508,-2505,-3,3,0
2023-02-01,Feb.,2023,155086,311,326,248,15,-78,-63,1119,1158,1144,39,-14,25
2023-03-01,Mar.,2023,155171,236,165,217,-71,52,-19,520,462,457,-58,-5,-63
2023-04-01,Apr.,2023,155387,253,294,217,41,-77,-36,892,946,929,54,-17,37
2023-05-01,May,2023,155614,339,306,281,-33,-25,-58,920,897,910,-23,13,-10
2023-06-01,Jun.,2023,155871,209,185,105,-24,-80,-104,697,666,626,-31,-40,-71
2023-07-01,Jul.,2023,156019,187,157,236,-30,79,49,-819,-871,-883,-52,-12,-64
2023-08-01,Aug.,2023,156176,187,227,165,40,-62,-22,268,394,370,126,-24,102
2023-09-01,Sep.,2023,156334,336,297,262,-39,-34,-74,585,526,514,-59,-12,-71
2023-10-01,Oct.,2023,156520,150,150,105,0,-45,-45,1066,1078,1030,12,-48,-36
2023-11-01,Nov.,2023,156661,199,173,182,-26,9,-17,477,459,469,-18,10,-8
2023-12-01,Dec.,2023,156930,216,333,290,117,-43,74,-167,-86,-78,81,8,89
2024-01-01,Jan.,2024,157049,353,229,256,-124,27,-97,-2635,-2855,-2837,-220,18,-202
2024-02-01,Feb.,2024,157271,275,270,236,-5,-34,-39,1141,1127,1119,-14,-8,-22
2024-03-01,Mar.,2024,157517,303,315,310,12,-5,7,659,662,659,3,-3,0
2024-04-01,Apr.,2024,157635,175,165,108,-10,-57,-67,803,791,791,-12,0,-12
2024-05-01,May,2024,157828,272,218,216,-54,-2,-56,917,844,841,-73,-3,-76
2024-06-01,Jun.,2024,157915,206,179,118,-27,-61,-88,547,518,499,-29,-19,-48
2024-07-01,Jul.,2024,158003,114,89,144,-25,55,30,-915,-954,-942,-39,12,-27
2024-08-01,Aug.,2024,158074,142,159,78,17,-81,-64,263,318,332,55,14,69
2024-09-01,Sep.,2024,158314,254,223,255,-31,32,1,460,450,453,-10,3,-7
2024-10-01,Oct.,2024,158358,12,36,43,24,7,31,826,851,846,25,-5,20
2024-11-01,Nov.,2024,158619,227,212,261,-15,49,34,525,509,530,-16,21,5
2024-12-01,Dec.,2024,158942,256,307,323,51,16,67,-81,61,41,142,-20,122
2025-01-01,Jan.,2025,159053,143,125,111,-18,-14,-32,-2852,-2831,-2828,21,3,24
2025-02-01,Feb.,2025,159155,151,117,102,-34,-15,-49,891,855,849,-36,-6,-42
2025-03-01,Mar.,2025,159275,228,185,120,-43,-65,-108,556,467,458,-89,-9,-98
2025-04-01,Apr.,2025,159433,177,147,158,-30,11,-19,905,836,825,-69,-11,-80
2025-05-01,May,2025,159452,139,144,19,5,-125,-120,726,731,703,5,-28,-23
2025-06-01,Jun.,2025,159466,147,14,NA,-133,NA,NA,517,363,NA,-154,NA,NA
2025-07-01,Jul.,2025,159539,73,NA,NA,NA,NA,NA,-1066,NA,NA,NA,NA,NA
2025-08-01,Aug.,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-09-01,Sep.,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-10-01,Oct.,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-01,Nov.,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-12-01,Dec.,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
