date,year,month,month_num,sa_1st,sa_2nd,sa_3rd,sa_rev_2nd_minus_1st,sa_rev_3rd_minus_2nd,sa_rev_3rd_minus_1st,nsa_1st,nsa_2nd,nsa_3rd,nsa_rev_2nd_minus_1st,nsa_rev_3rd_minus_2nd,nsa_rev_3rd_minus_1st,source_url,scraped_at
1981-03-01,1981,Mar.,3,1.0,62.0,53.0,61.0,-9.0,52.0,523.0,583.0,572.0,60.0,-11.0,49.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-04-01,1981,Apr.,4,-220.0,-215.0,111.0,5.0,326.0,331.0,537.0,546.0,520.0,9.0,-26.0,-17.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-05-01,1981,May,5,-16.0,72.0,106.0,88.0,34.0,122.0,497.0,479.0,511.0,-18.0,32.0,14.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-06-01,1981,Jun.,6,-14.0,19.0,51.0,33.0,32.0,65.0,562.0,598.0,633.0,36.0,35.0,71.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-07-01,1981,Jul.,7,383.0,351.0,265.0,-32.0,-86.0,-118.0,-766.0,-796.0,-881.0,-30.0,-85.0,-115.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-08-01,1981,Aug.,8,61.0,49.0,21.0,-12.0,-28.0,-40.0,82.0,26.0,-2.0,-56.0,-28.0,-84.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-09-01,1981,Sep.,9,-54.0,47.0,132.0,101.0,85.0,186.0,400.0,481.0,561.0,81.0,80.0,161.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-10-01,1981,Oct.,10,-205.0,-235.0,-201.0,-30.0,34.0,4.0,253.0,230.0,265.0,-23.0,35.0,12.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-11-01,1981,Nov.,11,-237.0,-333.0,-310.0,-96.0,23.0,-73.0,-58.0,-152.0,-131.0,-94.0,21.0,-73.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1981-12-01,1981,Dec.,12,-293.0,-426.0,-409.0,-133.0,17.0,-116.0,-257.0,-378.0,-361.0,-121.0,17.0,-104.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
