date,1-month revision,2-month revision
2003-07-01,-5,-8
2003-08-01,52,76
2003-09-01,68,-26
2003-10-01,11,-37
2003-11-01,-14,40
2003-12-01,15,-8
2002-01-01,-37,17
2002-02-01,-68,-2
2002-03-01,-79,16
2002-04-01,-37,-27
2002-05-01,-17,-2
2002-06-01,30,-32
2002-07-01,61,-13
2002-08-01,68,16
2002-09-01,30,-71
2002-10-01,91,-17
2002-11-01,-48,7
2002-12-01,-55,9
2001-01-01,-44,65
2001-02-01,5,-4
2001-03-01,33,112
2001-04-01,41,17
2001-05-01,27,33
2001-06-01,21,-6
2001-07-01,55,5
2001-08-01,29,30
2001-09-01,-14,48
2001-10-01,-53,20
2001-11-01,-40,16
2001-12-01,-6,24
2000-01-01,-3,10
2000-02-01,-36,20
2000-03-01,42,69
2000-04-01,74,-4
2000-05-01,-60,0
2000-06-01,19,27
2000-07-01,57,11
2000-08-01,14,12
2000-09-01,-57,0
2000-10-01,-60,-11
2000-11-01,-35,-6
2000-12-01,-86,17
1999-01-01,-28,0
1999-02-01,22,38
1999-03-01,-39,76
1999-04-01,109,-22
1999-05-01,-16,33
1999-06-01,5,8
1999-07-01,28,35
1999-08-01,-21,26
1999-09-01,49,62
1999-10-01,-47,21
1999-11-01,-12,35
1999-12-01,1,-7
1998-01-01,17,24
1998-02-01,-58,7
1998-03-01,12,106
1998-04-01,40,18
1998-05-01,13,19
1998-06-01,-9,-7
1998-07-01,2,50
1998-08-01,-56,13
1998-09-01,88,15
1998-10-01,29,19
1998-11-01,-16,26
1998-12-01,-80,16
1997-01-01,-24,12
1997-02-01,-46,21
1997-03-01,-36,43
1997-04-01,181,4
1997-05-01,28,-3
1997-06-01,11,-6
1997-07-01,49,19
1997-08-01,-9,12
1997-09-01,54,31
1997-10-01,3,4
1997-11-01,8,17
1997-12-01,-15,-1
1996-01-01,13,42
1996-02-01,-81,7
1996-03-01,38,-20
1996-04-01,161,28
1996-05-01,17,42
1996-06-01,-19,-1
1996-07-01,35,7
1996-08-01,-9,22
1996-09-01,5,33
1996-10-01,14,37
1996-11-01,9,54
1996-12-01,-1,-30
1995-01-01,42,-7
1995-02-01,27,10
1995-03-01,-26,2
1995-04-01,2,15
1995-05-01,55,-16
1995-06-01,35,49
1995-07-01,-49,22
1995-08-01,13,1
1995-09-01,-71,44
1995-10-01,-50,2
1995-11-01,-2,48
1995-12-01,10,-16
1994-01-01,-64,-29
1994-02-01,-19,80
1994-03-01,8,-85
1994-04-01,91,43
1994-05-01,61,0
1994-06-01,-23,27
1994-07-01,-8,39
1994-08-01,67,44
1994-09-01,9,24
1994-10-01,-30,-2
1994-11-01,138,46
1994-12-01,-46,21
1993-01-01,-62,69
1993-02-01,2,-29
1993-03-01,13,35
1993-04-01,97,39
1993-05-01,6,23
1993-06-01,31,-1
1993-07-01,49,26
1993-08-01,-2,8
1993-09-01,6,35
1993-10-01,-30,15
1993-11-01,-6,14
1993-12-01,7,40
1992-01-01,-58,27
1992-02-01,-57,-1
1992-03-01,20,19
1992-04-01,56,-5
1992-05-01,25,26
1992-06-01,54,-10
1992-07-01,-21,-6
1992-08-01,-45,19
1992-09-01,-15,84
1992-10-01,7,40
1992-11-01,-29,-1
1992-12-01,26,16
1991-01-01,-1,42
1991-02-01,-107,5
1991-03-01,-35,-17
1991-04-01,-56,14
1991-05-01,60,32
1991-06-01,29,19
1991-07-01,-22,47
1991-08-01,43,35
1991-09-01,24,47
1991-10-01,5,3
1991-11-01,-24,35
1991-12-01,-28,36
1990-01-01,57,29
1990-02-01,-16,17
1990-03-01,77,20
1990-04-01,-87,-3
1990-05-01,192,13
1990-06-01,115,57
1990-07-01,130,0
1990-08-01,-8,-44
1990-09-01,49,51
1990-10-01,-110,-2
1990-11-01,8,-8
1990-12-01,-72,-13
1989-01-01,7,9
1989-02-01,-9,-4
1989-03-01,-9,6
1989-04-01,89,7
1989-05-01,106,2
1989-06-01,70,47
1989-07-01,15,-24
1989-08-01,-22,32
1989-09-01,-8,8
1989-10-01,-140,-18
1989-11-01,12,59
1989-12-01,-46,22
1988-01-01,67,41
1988-02-01,-14,21
1988-03-01,34,-5
1988-04-01,75,12
1988-05-01,12,-13
1988-06-01,186,36
1988-07-01,-83,14
1988-08-01,-50,-15
1988-09-01,49,8
1988-10-01,-85,-2
